pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,Launch fts,Rad,launch_speed_x,launch_speed_y,28.7
FF,2022-05-03,96,-2.2,5.84,"Judge, Aaron",592450,666201,home_run,hit_into_play,,,,,7,Aaron Judge homers (9) on a fly ball to left field.,R,R,R,TOR,NYY,X,,fly_ball,3,2,2022,-0.54,1.43,-0.34,2.37,,,,2,6,Top,43.96,52.17,,,672386,,,6.19366399,-139.4620659,-6.819643091,-8.564307182,35.17986899,-12.11987622,3.99,1.87,427,114.9,25,96.1,2508,6.7,661796,666201,672386,665489,669289,656305,666182,666971,543807,606132,53.77,0.986,1.977,2,1,0,3,6,41,8,4-Seam Fastball,1,0,0,1,1,1,1,1,Standard,Strategic,214,-0.171,0.982,168.52,0.436332313,152.7309883,71.21962947,30.1
SL,2022-08-08,88.6,1.82,5.66,"Judge, Aaron",592450,621366,home_run,hit_into_play,,,,,9,Aaron Judge homers (44) on a fly ball to center field.,R,R,L,SEA,NYY,X,,fly_ball,2,2,2022,-0.19,0.42,0.7,2.47,,,,0,9,Top,142.02,28.59,,,663728,,,-2.342243223,-129.106511,-2.71435194,-1.712418906,23.35595857,-27.08726775,3.92,1.87,423,107.7,23,89.5,2415,6.5,662152,621366,663728,664034,624428,553993,641487,664059,672284,571745,54.03,0.926,1.751,2,1,0,3,6,69,5,Slider,3,7,7,3,8,3,8,3,Infield shift,Standard,179,-0.008,1.026,157.96,0.401425728,145.4029467,61.71988906,56.9
FF,2022-07-26,96.6,-2.1,6.47,"Judge, Aaron",592450,592836,home_run,hit_into_play,,,,,5,Aaron Judge homers (38) on a fly ball to right center field.,R,R,R,NYM,NYY,X,,fly_ball,3,2,2022,-0.8,1.42,0.21,3,,,,1,1,Top,187.94,39,,,621512,,,7.938546689,-140.34039,-6.923052489,-12.32255624,30.03359152,-11.92874002,3.97,1.91,423,112.1,29,96.5,2171,6.2,662438,592836,621512,624413,643446,500871,596019,592192,607043,516782,54.3,0.986,2.047,2,1,0,3,6,2,6,4-Seam Fastball,0,0,0,0,1,0,1,0,Infield shift,Standard,213,-0.103,0.948,164.4133333,0.5061454831,143.7991414,79.7091657,
SL,2022-05-17,79,-1.84,5.54,"Judge, Aaron",592450,607216,home_run,hit_into_play,,,,,5,Aaron Judge homers (14) on a fly ball to center field.,R,R,R,BAL,NYY,X,,fly_ball,1,0,2022,0.77,-0.14,-0.11,2.68,,,,0,5,Top,113.74,28.86,,,621532,,,2.309173378,-115.0731806,0.7830094067,6.461661132,20.76953413,-33.77054879,3.98,1.87,422,112.2,25,78.5,2396,5.8,661342,607216,621532,641820,596059,663527,602104,669720,656775,663630,54.66,0.989,2.008,2,1,0,3,6,38,2,Slider,3,2,2,3,3,3,3,3,Infield shift,Strategic,72,-0.144,0.967,164.56,0.436332313,149.1420094,69.54606115,56.8
FF,2022-05-29,91.3,1.32,6.2,"Judge, Aaron",592450,621363,home_run,hit_into_play,,,,,7,Aaron Judge homers (18) on a fly ball to center field.,R,R,L,TB,NYY,X,,fly_ball,1,0,2022,0.34,1.72,-0.29,2.25,,,,0,8,Top,163.45,33.29,,,572287,,,-4.83954643,-132.6102203,-7.766096227,5.08182632,31.79675618,-10.43922598,3.95,1.84,420,107.4,31,92,2130,7.1,661910,621363,572287,650490,670764,670623,677551,622534,595281,660644,53.4,0.894,1.864,2,1,0,3,6,57,2,4-Seam Fastball,4,1,1,4,2,4,2,4,Standard,Standard,171,-0.065,0.967,157.52,0.5410520681,135.0209932,81.12879756,20.8
FC,2022-08-01,87.4,2.08,5.49,"Judge, Aaron",592450,594835,home_run,hit_into_play,,,,,4,Aaron Judge homers (43) on a fly ball to center field.   DJ LeMahieu scores.,R,R,L,NYY,SEA,X,,fly_ball,0,0,2022,0.31,1.05,-0.56,3.18,,,518934,2,2,Bot,83.3,34.35,,,663728,,,-7.033697806,-127.2254334,-1.597788056,4.793501166,25.26434332,-20.65670374,3.89,1.82,420,105.5,29,88,2079,6.6,661268,594835,663728,467793,647351,553993,641487,608385,672284,624428,53.94,0.86,1.778,2,1,0,3,6,20,1,Cutter,3,1,3,1,1,5,5,1,Standard,Standard,150,0.135,1.88,154.7333333,0.5061454831,135.3328227,75.01620857,50.7
SI,2022-07-06,93.7,1.76,5.58,"Judge, Aaron",592450,544365,home_run,hit_into_play,,,,,4,Aaron Judge hits a grand slam (30) to left field.   Isiah Kiner-Falefa scores.    Kyle Higashioka scores.    DJ LeMahieu scores.,R,R,L,PIT,NYY,X,,fly_ball,0,1,2022,1.27,0.76,-0.47,2.6,643396,543309,518934,1,8,Top,30.41,57.98,,,605421,,,-8.606036528,-136.3163103,-3.689272807,17.71644536,27.70834827,-22.04225452,3.95,1.87,419,114.7,24,94.4,1765,6.5,662328,544365,605421,660294,642165,663647,665833,669261,668804,592325,53.97,0.98,1.951,2,1,0,3,6,63,2,Sinker,0,5,5,0,9,0,9,0,Standard,Standard,137,-0.008,2.772,168.2266667,0.4188790205,153.6827072,68.42394968,20.8
SI,2022-05-23,90.3,-1.16,6.02,"Judge, Aaron",592450,543475,home_run,hit_into_play,,,,,4,Aaron Judge homers (16) on a fly ball to center field.,R,R,R,NYY,BAL,X,,fly_ball,1,1,2022,-1.18,1.19,-0.68,3.16,,,,1,1,Bot,81.9,35.61,,,455139,,,3.747289016,-131.3518185,-3.697315076,-14.49888535,29.43055006,-17.8174972,3.97,1.85,418,112,22,90.9,2060,6.8,661287,543475,455139,663624,596059,602104,572008,669720,656775,641820,53.69,0.957,1.815,2,1,0,3,6,5,3,Sinker,0,0,0,0,0,1,1,0,Infield shift,Standard,207,0.104,1.008,164.2666667,0.3839724354,152.3054012,61.53537641,49.9
SL,2022-06-26,80.2,-2.57,4.25,"Judge, Aaron",592450,661527,home_run,hit_into_play,,,,,8,Aaron Judge homers (28) on a line drive to left center field.   Aaron Hicks scores.    Matt Carpenter scores.,R,R,R,NYY,HOU,X,,line_drive,0,1,2022,1.27,0.25,0.01,1.93,543305,,572761,2,10,Bot,70.84,39.13,,,488771,,,3.337782058,-116.8965743,1.024080152,11.20010641,19.5124157,-30.18373879,3.9,1.84,417,112,20,81.5,2519,6.8,661273,661527,488771,493329,514888,608324,665161,649557,643289,663656,53.7,0.903,1.561,2,1,0,3,6,80,2,Slider,3,3,3,3,3,6,6,3,Infield shift,Standard,97,0.365,2.675,164.2666667,0.3490658504,154.3601745,56.18250888,45.8
SL,2022-04-28,83.5,2.45,5.08,"Judge, Aaron",592450,643316,home_run,hit_into_play,,,,,7,Aaron Judge homers (5) on a fly ball to left center field.   Kyle Higashioka scores.    DJ LeMahieu scores.,R,R,L,NYY,BAL,X,,fly_ball,3,1,2022,-0.88,-0.27,-0.45,2.33,543309,518934,,1,8,Bot,39.47,54.1,,,621532,,,-4.950367045,-121.6539398,0.5742293684,-7.87383498,22.28718128,-35.13823692,3.98,1.84,415,113.6,23,83.8,2682,6.3,661305,643316,621532,641820,596059,642721,622761,669720,663630,623993,54.21,0.969,1.893,2,1,0,3,6,76,5,Slider,7,2,7,2,2,10,10,2,Strategic,Standard,322,0.003,1.789,166.6133333,0.401425728,153.368382,65.10101575,27.1
